UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory ,ProductType,ProductOriginCountry,NotifierType
ICID00030604,2017-09-13,Heavy Metals,Dietetic Foods / Food Supplements / Fortified Foods,Germany (DE),RASFF
ICID00030605,2017-09-12,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030606,2017-09-13,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030607,2017-09-13,Chemical Contamination (other),Fish & Fish Products,Chile (CL),RASFF
ICID00030608,2017-09-13,Clandestine Detection,Egg & Egg Products,Spain (ES),Home Office / Border Force
ICID00030609,2017-09-13,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00030610,2017-09-13,Poor or Insufficient Controls,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00030611,2017-09-13,Allergens,Soups / Broths / Sauces & Condiments,Australia (AU),Industry
ICID00030612,2017-09-13,Clandestine Detection,Non-Alcoholic Beverages,Netherlands (NL),Home Office / Border Force
ICID00030613,2017-09-13,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US,RASFF
ICID00030614,2017-09-13,Pathogenic Micro-Organisms,Herbs & Spices,United Kingdom (GB),EU Member States
ICID00030615,2017-09-13,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030616,2017-09-14,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030617,2017-09-13,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030618,2017-09-14,Clandestine Detection,Confectionary,Poland (PL),Border Inspection Posts (BIPs)
ICID00030619,2017-09-14,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00030620,2017-09-14,Mycotoxins,Herbs & Spices,Hong Kong (HK),RASFF
ICID00030621,2017-09-14,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00030622,2017-09-14,Clandestine Detection,Confectionary,Spain (ES),Border Inspection Posts (BIPs)
ICID00030623,2017-09-14,Labelling Absent / Incomplete / Incorrect,Fats & Oils,Greece (GR),Administrative Assistance and Cooperation System (AAC) 
ICID00030624,2017-09-15,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00030625,2017-09-15,Allergens,Confectionery,United Kingdom (GB),Local Authority
ICID00030626,2017-09-15,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030627,2017-09-15,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030628,2017-09-15,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030629,2017-09-15,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030630,2017-09-15,Adulteration/Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),National Crime Agency (NCA)
ICID00030631,2017-09-15,Labelling Absent / Incomplete / Incorrect,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Industry
ICID00030632,2017-09-15,Clandestine Detection,Cereals & Bakery Products,France (FR),Home Office / Border Force
ICID00030633,2017-09-15,Not determined / other,N/A,Unknown,Local Authority
ICID00030634,2017-09-15,Allergens,Cereals & Bakery Products,United Kingdom (GB),General Public
ICID00030635,2017-09-16,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030636,2017-09-15,Food Additives & Flavourings,Cocoa & Coca Preparations,France (FR),RASFF
ICID00030637,2017-09-18,Foreign Bodies ,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00030638,2017-09-18,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00030639,2017-09-18,Foreign Bodies ,Meat & Meat Products (other than poultry),Brazil (BR),Local Authority
ICID00030640,2017-09-18,Allergens,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00030641,2017-09-18,Foreign Bodies ,Prepared Dishes & Snacks,Belgium (BE),Industry
ICID00030642,2017-09-18,Foreign Bodies ,Poultry Meat & Poultry Meat Products,United Kingdom (GB),EU Member States
ICID00030643,2017-09-15,Pathogenic Micro-Organisms,N/A,Unknown,Local Authority
ICID00030644,2017-09-18,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00030645,2017-09-18,Residues of Veterinary Medicinal Products,Milk & Milk Products,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00030646,2017-09-18,Residues of Veterinary Medicinal Products,Milk & Milk Products,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
