UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00029710,2017-04-27,Novel Food,Dietetic Foods/Food Supplements/Fortified Foods,United Kingdom (GB),RASFF
ICID00029711,2017-04-26,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00029712,2017-04-27,Mycotoxins,Meat & Meat Products (other than poultry),United Kingdom (GB),RASFF
ICID00029713,2017-04-27,Chemical Contamination (other),Cereals & Bakery Products,Netherlands (NL),Administrative Assistance and Cooperation System (AAC) 
ICID00029714,2017-04-27,Allergens,Confectionery,United Kingdom (GB),Industry
ICID00029715,2017-04-27,Adulteration / Fraud,Confectionery,China (CX),Port Health Authority (PHA)
ICID00029716,2017-04-27,Foreign Bodies,Other Food Product/Mixed,Turkey (TR),Local Authority
ICID00029717,2017-04-27,Clandestine Detection,Cereals & Bakery Products,Romania (RO),Home Office/Border Force
ICID00029718,2017-04-27,Food Additives & Flavourings,Confectionery,Malaysia (MY),Border Inspection Posts (BIPs)
ICID00029719,2017-04-27,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00029720,2017-04-27,Allergens,Dietetic Foods/Food Supplements/Fortified Foods,Canada (CA),Industry
ICID00029721,2017-04-28,Pesticide Residues,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00029722,2017-04-28,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Brazil (BR),Border Inspection Posts (BIPs)
ICID00029723,2017-04-28,Chemical Contamination (other),Fish & Fish Products,Senegal (SN),Industry
ICID00029724,2017-04-28,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs)
ICID00029725,2017-04-28,Pathogenic Micro-Organisms,Fish & Fish Products,Scotland,European Commission (EC)
ICID00029726,2017-04-28,Poor or Insufficient Controls,Fish & Fish Products,Morocco (MA),Border Inspection Posts (BIPs)
ICID00029727,2017-04-28,Mycotoxins,Feed Premixtures,Egypt (EG),Border Inspection Posts (BIPs)
ICID00029728,2017-04-30,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029732,2017-04-28,Pathogenic Micro-Organisms,Unknown,Scotland,National Health Service (NHS)
ICID00029733,2017-04-28,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029735,2017-04-28,Residues or Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00029736,2017-04-28,Residues or Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00029744,2017-04-20,Labelling (absent / incomplete / incorrect),Dietetic foods/Food supplements/Fortified foods,Netherlands (NL),Local Authority
ICID00029883,2017-04-27,Chemical Contamination (other),Non-Alcoholic Beverages,Nigeria (NG),General Public
