UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00032897,2018-08-28,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00032898,2018-08-24,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00032899,2018-08-28,Pathogenic Micro-Organisms,Herbs & Spices,Guatemala (GT),RASFF
ICID00032900,2018-08-28,Allergens,Fruits & Vegetables,United Kingdom (GB),FSA Policy
ICID00032901,2018-08-29,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00032902,2018-08-29,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00032903,2018-08-29,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),EU Member States
ICID00032904,2018-08-30,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs)
ICID00032905,2018-08-30,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs)
ICID00032906,2018-08-30,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00032907,2018-08-30,Foreign Bodies,Poultry Meat & Poultry Meat Products,United Kingdom,Industry
ICID00032908,2018-08-30,Mycotoxins,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00032909,2018-08-30,Clandestine Detection,Confectionery,Netherlands (NL),Home Office / Border Force
ICID00032910,2018-08-30,Packaging Defective / Incorrect,Fish & Fish Products,Peru (PE),RASFF
ICID00032911,2018-08-30,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Romania (RO),Department for Environment Food & Rural Affairs (Defra)
ICID00032912,2018-08-30,Allergens,Prepared Dishes & Snacks,Poland (PL),Local Authority
ICID00032913,2018-08-30,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00032914,2018-08-31,Allergens,Prepared Dishes & Snacks,Ireland (IE),Industry
ICID00032915,2018-08-31,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00032916,2018-08-28,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00032917,2018-08-31,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00032918,2018-08-31,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00032919,2018-08-31,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00032920,2018-08-31,Allergens,Herbs & Spices,United Kingdom (GB),EU Member States
ICID00032921,2018-08-31,Pathogenic Micro-Organisms,Herbs & Spices,Germany (DE),Industry
ICID00032923,2018-08-31,Pathogenic Micro-Organisms,Herbs & Spices,Spain (ES),RASFF
ICID00032924,2018-08-31,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Industry
ICID00032987,2018-08-31,Labelling Absent / Incomplete / Incorrect,Soups / Broths / Sauces & Condiments,United Kingdom (GB),General Public
